hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
13605,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13606,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13606,Masculino,Varón,No especificado,15-19,Si,victima
13607,Masculino,Varón,No especificado,55-59,Si,victima
13607,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13607,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13608,Masculino,Varón,No especificado,25-29,Si,victima
13608,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13609,Masculino,Varón,No especificado,50-54,Si,victima
13609,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13609,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13609,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13610,Masculino,Varón,No especificado,20-24,Si,victima
13610,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13611,Masculino,Varón,No especificado,15-19,Si,victima
13611,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13612,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13612,Masculino,Varón,No especificado,30-34,Si,victima
13613,Masculino,Varón,No especificado,15-19,Si,victima
13613,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13614,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13614,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13615,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13615,Masculino,Varón,No especificado,30-34,Si,victima
13616,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13616,Masculino,Varón,No especificado,45-49,Si,victima
13617,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13617,Masculino,Varón,No especificado,15-19,Si,victima
13618,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13618,Masculino,Varón,No especificado,20-24,Si,victima
13619,Masculino,Varón,No especificado,35-39,Si,victima
13619,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13620,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13620,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13621,Masculino,Varón,No especificado,35-39,Si,victima
13621,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13622,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13622,Masculino,Varón,No especificado,25-29,Si,victima
13623,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13623,Femenino,Mujer,No especificado,4 o menos,No,victima
13627,Femenino,Mujer,No especificado,30-34,Si,victima
13627,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13627,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13627,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13627,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13628,Masculino,Varón,No especificado,70-74,Si,victima
13628,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13629,Masculino,Varón,No especificado,25-29,Si,victima
13629,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13630,Masculino,Varón,No especificado,20-24,Si,victima
13630,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13631,Masculino,Varón,No especificado,40-44,Si,victima
13631,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13632,Masculino,Varón,No especificado,15-19,Si,victima
13632,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13634,Masculino,Varón,No especificado,20-24,Si,victima
13634,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13635,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13635,Masculino,Varón,No especificado,25-29,Si,victima
13636,Masculino,Varón,No especificado,35-39,Si,victima
13636,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13637,Masculino,Varón,No especificado,20-24,Si,victima
13637,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13638,Masculino,Varón,No especificado,15-19,No,victima
13638,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13639,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13639,Femenino,Mujer,No especificado,35-39,Si,victima
13640,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13640,Masculino,Varón,No especificado,20-24,Si,victima
13641,Femenino,Mujer,No especificado,30-34,Si,victima
13641,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13642,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13642,Masculino,Varón,No especificado,25-29,Si,victima
13643,Femenino,Mujer,No especificado,45-49,Si,victima
13643,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13644,Masculino,Varón,No especificado,50-54,Si,victima
13644,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13645,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13645,Masculino,Varón,No especificado,Sin determinar,Si,victima
13646,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13646,Masculino,Varón,No especificado,10-14,No,victima
13678,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13678,Masculino,Varón,No especificado,80-84,Si,victima
13678,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13679,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13679,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13679,Femenino,Mujer,No especificado,20-24,Si,victima
13680,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13680,Masculino,Varón,No especificado,20-24,Si,victima
13681,Masculino,Varón,No especificado,20-24,Si,victima
13681,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13682,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13682,Masculino,Varón,No especificado,25-29,Si,victima
13683,Masculino,Varón,No especificado,25-29,Si,victima
13683,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13684,Masculino,Varón,No especificado,15-19,No,victima
13684,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13684,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13685,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13685,Masculino,Varón,No especificado,60-64,Si,victima
13686,Masculino,Varón,No especificado,40-44,Si,victima
13686,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13693,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13693,Masculino,Varón,No especificado,35-39,Si,victima
13694,Masculino,Varón,No especificado,45-49,Si,victima
13694,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13695,Femenino,Mujer,No especificado,60-64,Si,victima
13695,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13696,Femenino,Mujer,No especificado,50-54,Si,victima
13696,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13697,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13697,Masculino,Varón,No especificado,15-19,Si,victima
13698,Masculino,Varón,No especificado,25-29,Si,victima
13698,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13699,Femenino,Mujer,No especificado,50-54,Si,victima
13699,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13700,Masculino,Varón,No especificado,20-24,Si,victima
13700,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13701,Masculino,Varón,No especificado,40-44,Si,victima
13701,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13708,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13708,Femenino,Mujer,No especificado,20-24,Si,victima
13709,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13709,Masculino,Varón,No especificado,55-59,Si,victima
13710,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13710,Masculino,Varón,No especificado,25-29,Si,victima
13711,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13711,Masculino,Varón,No especificado,50-54,Si,victima
13712,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13712,Femenino,Mujer,No especificado,45-49,Si,victima
13713,Masculino,Varón,No especificado,15-19,Si,victima
13713,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13714,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13714,Masculino,Varón,No especificado,4 o menos,No,victima
13715,Femenino,Mujer,No especificado,45-49,Si,victima
13715,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13723,Femenino,Mujer,No especificado,20-24,Si,victima
13723,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13724,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13724,Femenino,Mujer,No especificado,70-74,Si,victima
13725,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13725,Masculino,Varón,No especificado,35-39,Si,victima
13726,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13726,Masculino,Varón,No especificado,40-44,Si,victima
13727,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13727,Masculino,Varón,No especificado,50-54,Si,victima
13728,Masculino,Varón,No especificado,15-19,Si,victima
13728,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13729,Femenino,Mujer,No especificado,65-69,Si,victima
13729,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13730,Masculino,Varón,No especificado,20-24,Si,victima
13730,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13731,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13731,Femenino,Mujer,No especificado,5-9,No,victima
13732,Femenino,Mujer,No especificado,65-69,Si,victima
13732,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13732,Femenino,Mujer,No especificado,25-29,Si,victima
13738,Femenino,Mujer,No especificado,20-24,Si,victima
13738,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13739,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13739,Masculino,Varón,No especificado,50-54,Si,victima
13740,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13740,Femenino,Mujer,No especificado,20-24,Si,victima
13741,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13741,Femenino,Mujer,No especificado,30-34,Si,victima
13742,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13742,Femenino,Mujer,No especificado,40-44,Si,victima
13743,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13743,Masculino,Varón,No especificado,35-39,Si,victima
13744,Masculino,Varón,No especificado,40-44,Si,victima
13744,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13745,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13745,Masculino,Varón,No especificado,55-59,Si,victima
13745,Masculino,Varón,No especificado,25-29,Si,victima
13746,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13746,Masculino,Varón,No especificado,25-29,Si,victima
13747,Masculino,Varón,No especificado,60-64,Si,victima
13747,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13748,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13748,Masculino,Varón,No especificado,20-24,Si,victima
13749,Masculino,Varón,No especificado,40-44,Si,victima
13749,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13750,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13750,Masculino,Varón,No especificado,30-34,Si,victima
13753,Masculino,Varón,No especificado,55-59,Si,victima
13753,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13754,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13754,Masculino,Varón,No especificado,25-29,Si,victima
13755,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13755,Masculino,Varón,No especificado,30-34,Si,victima
13756,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13756,Femenino,Mujer,No especificado,35-39,Si,victima
13760,Femenino,Mujer,No especificado,80-84,Si,victima
13760,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13761,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13761,Masculino,Varón,No especificado,70-74,Si,victima
13762,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13762,Masculino,Varón,No especificado,60-64,Si,victima
13763,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13763,Masculino,Varón,No especificado,15-19,No,victima
13764,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13764,Masculino,Varón,No especificado,25-29,Si,victima
13764,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13765,Masculino,Varón,No especificado,55-59,Si,victima
13765,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13766,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13766,Masculino,Varón,No especificado,15-19,Si,victima
13767,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13767,Masculino,Varón,No especificado,4 o menos,No,victima
13768,Masculino,Varón,No especificado,20-24,Si,victima
13768,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13775,Femenino,Mujer,No especificado,20-24,Si,victima
13775,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13776,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13776,Femenino,Mujer,No especificado,45-49,Si,victima
13777,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13777,Masculino,Varón,No especificado,30-34,Si,victima
13778,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13778,Femenino,Mujer,No especificado,40-44,Si,victima
13779,Femenino,Mujer,No especificado,45-49,Si,victima
13779,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13780,Masculino,Varón,No especificado,55-59,Si,victima
13780,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13781,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13781,Masculino,Varón,No especificado,75-79,Si,victima
13782,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13782,Femenino,Mujer,No especificado,55-59,Si,victima
13783,Masculino,Varón,No especificado,20-24,Si,victima
13783,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13784,Masculino,Varón,No especificado,45-49,Si,victima
13784,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13784,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13784,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13785,Femenino,Mujer,No especificado,20-24,Si,victima
13785,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13790,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13790,Masculino,Varón,No especificado,30-34,Si,victima
13791,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13791,Femenino,Mujer,No especificado,4 o menos,No,victima
13792,Masculino,Varón,No especificado,50-54,Si,victima
13792,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13793,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13793,Masculino,Varón,No especificado,15-19,No,victima
13794,Masculino,Varón,No especificado,20-24,Si,victima
13794,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13795,Femenino,Mujer,No especificado,40-44,Si,victima
13795,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13796,Femenino,Mujer trans/travesti,No especificado,20-24,Si,victima
13796,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13797,Masculino,Varón,No especificado,25-29,Si,victima
13797,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13798,Masculino,Varón,No especificado,40-44,Si,victima
13798,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13805,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13805,Masculino,Varón,No especificado,65-69,Si,victima
13806,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13806,Masculino,Varón,No especificado,55-59,Si,victima
13807,Masculino,Varón,No especificado,20-24,Si,victima
13807,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13808,Masculino,Varón,No especificado,25-29,Si,victima
13808,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13809,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13809,Femenino,Mujer,No especificado,25-29,Si,victima
13810,Masculino,Varón,No especificado,75-79,Si,victima
13810,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13812,Masculino,Varón,No especificado,55-59,Si,victima
13812,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13813,Masculino,Varón,No especificado,25-29,Si,victima
13813,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13814,Masculino,Varón,No especificado,4 o menos,No,victima
13814,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13815,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13815,Masculino,Varón,No especificado,50-54,Si,victima
13816,Femenino,Mujer,No especificado,20-24,Si,victima
13816,Masculino,Varón,No especificado,20-24,Si,victima
13816,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13818,Masculino,Varón,No especificado,50-54,Si,victima
13818,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13819,Masculino,Varón,No especificado,30-34,Si,victima
13819,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13820,Masculino,Varón,No especificado,20-24,Si,victima
13820,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13821,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13821,Masculino,Varón,No especificado,15-19,No,victima
13822,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13822,Masculino,Varón,No especificado,20-24,Si,victima
13823,Masculino,Varón,No especificado,15-19,Si,victima
13823,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13825,Masculino,Varón,No especificado,15-19,Si,victima
13825,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13826,Masculino,Varón,No especificado,40-44,Si,victima
13826,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13827,Masculino,Varón,No especificado,20-24,Si,victima
13827,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13828,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13828,Masculino,Varón,No especificado,20-24,Si,victima
13829,Masculino,Varón,No especificado,75-79,Si,victima
13829,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13830,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13830,Masculino,Varón,No especificado,40-44,Si,victima
13831,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13831,Masculino,Varón,No especificado,15-19,Si,victima
13832,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13832,Masculino,Varón,No especificado,60-64,Si,victima
13833,Masculino,Varón,No especificado,30-34,Si,victima
13833,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13834,Masculino,Varón,No especificado,55-59,Si,victima
13834,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13849,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13849,Masculino,Varón,No especificado,20-24,Si,victima
13850,Masculino,Varón,No especificado,40-44,Si,victima
13850,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13851,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13851,Masculino,Varón,No especificado,65-69,Si,victima
13852,Masculino,Varón,No especificado,35-39,Si,victima
13852,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13853,Masculino,Varón,No especificado,15-19,Si,victima
13853,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13854,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13854,Femenino,Mujer,No especificado,20-24,Si,victima
13856,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13856,Masculino,Varón,No especificado,35-39,Si,victima
13857,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13857,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13858,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13858,Masculino,Varón,No especificado,30-34,Si,victima
13859,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13859,Masculino,Varón,No especificado,35-39,Si,victima
13860,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13860,Masculino,Varón,No especificado,55-59,Si,victima
13861,Masculino,Varón,No especificado,25-29,Si,victima
13861,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13862,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13862,Masculino,Varón,No especificado,65-69,Si,victima
13863,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13863,Masculino,Varón,No especificado,55-59,Si,victima
13864,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13864,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13865,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13865,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13866,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13866,Masculino,Varón,No especificado,40-44,Si,victima
13871,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13871,Masculino,Varón,No especificado,50-54,Si,victima
13871,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13872,Masculino,Varón,No especificado,15-19,Si,victima
13872,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13873,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13873,Masculino,Varón,No especificado,30-34,Si,victima
13874,Masculino,Varón,No especificado,20-24,Si,victima
13874,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13875,Masculino,Varón,No especificado,25-29,Si,victima
13875,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13876,Masculino,Varón,No especificado,35-39,Si,victima
13876,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13877,Masculino,Varón,No especificado,35-39,Si,victima
13877,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13878,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13878,Masculino,Varón,No especificado,15-19,No,victima
13879,Masculino,Varón,No especificado,20-24,Si,victima
13879,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13880,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13880,Masculino,Varón,No especificado,35-39,Si,victima
13881,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13881,Masculino,Varón,No especificado,35-39,Si,victima
13882,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13882,Masculino,Varón,No especificado,55-59,Si,victima
13886,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13886,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13887,Masculino,Varón,No especificado,30-34,Si,victima
13887,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13888,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13888,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13889,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13889,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13890,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13890,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13891,Femenino,Mujer,No especificado,Sin determinar,Sin determinar,victima
13891,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13892,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13892,Masculino,Varón,No especificado,30-34,Si,victima
13893,Masculino,Varón,No especificado,25-29,Si,victima
13893,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13894,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13894,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13895,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13895,Femenino,Mujer,No especificado,15-19,No,victima
13896,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13896,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13897,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13897,Masculino,Varón,No especificado,30-34,Si,victima
13898,Masculino,Varón,No especificado,35-39,Si,victima
13898,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13899,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13899,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13901,Masculino,Varón,No especificado,35-39,Si,victima
13901,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13902,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13902,Femenino,Mujer,No especificado,90 y más,Si,victima
13903,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13903,Femenino,Mujer,No especificado,70-74,Si,victima
13904,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13904,Masculino,Varón,No especificado,40-44,Si,victima
13905,Masculino,Varón,No especificado,25-29,Si,victima
13905,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13906,Masculino,Varón,No especificado,20-24,Si,victima
13906,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13907,Masculino,Varón,No especificado,35-39,Si,victima
13907,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13938,Masculino,Varón,No especificado,15-19,Si,victima
13938,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13939,Masculino,Varón,No especificado,15-19,Si,victima
13939,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13940,Masculino,Varón,No especificado,30-34,Si,victima
13940,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13941,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13941,Masculino,Varón,No especificado,20-24,Si,victima
13942,Masculino,Varón,No especificado,30-34,Si,victima
13942,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13943,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13943,Femenino,Mujer,No especificado,70-74,Si,victima
13943,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13944,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13944,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13945,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13945,Masculino,Varón,No especificado,25-29,Si,victima
13946,Masculino,Varón,No especificado,Sin determinar,Sin determinar,victima
13946,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
13947,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
