hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
11599,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11600,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11600,Masculino,Varón,No especificado,50-54,Si,victima
11601,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11601,Masculino,Varón,No especificado,20-24,Si,victima
11602,Femenino,Mujer,No especificado,4 o menos,No,victima
11602,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11603,Masculino,Varón,No especificado,25-29,Si,victima
11603,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11604,Masculino,Varón,No especificado,40-44,Si,victima
11604,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11605,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11605,Masculino,Varón,No especificado,15-19,Si,victima
11606,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11606,Masculino,Varón,No especificado,20-24,Si,victima
11607,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11607,Masculino,Varón,No especificado,25-29,Si,victima
11608,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11608,Masculino,Varón,No especificado,60-64,Si,victima
11609,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11609,Masculino,Varón,No especificado,20-24,Si,victima
11610,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11610,Masculino,Varón,No especificado,25-29,Si,victima
11611,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11611,Masculino,Varón,No especificado,20-24,Si,victima
11612,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11612,Masculino,Varón,No especificado,25-29,Si,victima
11613,Masculino,Varón,No especificado,30-34,Si,victima
11613,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11614,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11614,Femenino,Mujer,No especificado,80-84,Si,victima
11615,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11615,Masculino,Varón,No especificado,20-24,Si,victima
11616,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11616,Masculino,Varón,No especificado,15-19,Si,victima
11617,Femenino,Mujer,No especificado,65-69,Si,victima
11617,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11624,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11624,Masculino,Varón,No especificado,45-49,Si,victima
11624,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11624,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11624,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11624,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11625,Masculino,Varón,No especificado,60-64,Si,victima
11625,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11626,Masculino,Varón,No especificado,25-29,Si,victima
11626,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11627,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11627,Masculino,Varón,No especificado,20-24,Si,victima
11628,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11628,Masculino,Varón,No especificado,25-29,Si,victima
11629,Masculino,Varón,No especificado,4 o menos,No,victima
11629,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11630,Femenino,Mujer,No especificado,30-34,Si,victima
11630,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11631,Masculino,Varón,No especificado,25-29,Si,victima
11631,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11632,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11632,Masculino,Varón,No especificado,15-19,No,victima
11633,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11633,Masculino,Varón,No especificado,35-39,Si,victima
11634,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11634,Masculino,Varón,No especificado,20-24,Si,victima
11635,Masculino,Varón,No especificado,20-24,Si,victima
11635,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11636,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11636,Masculino,Varón,No especificado,50-54,Si,victima
11637,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11637,Femenino,Mujer,No especificado,65-69,Si,victima
11638,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11638,Masculino,Varón,No especificado,20-24,Si,victima
11638,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11639,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11639,Masculino,Varón,No especificado,25-29,Si,victima
11654,Masculino,Varón,No especificado,50-54,Si,victima
11654,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11655,Femenino,Mujer,No especificado,55-59,Si,victima
11655,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11656,Masculino,Varón,No especificado,25-29,Si,victima
11656,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11657,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11657,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11657,Masculino,Varón,No especificado,20-24,Si,victima
11658,Femenino,Mujer,No especificado,15-19,No,victima
11658,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11659,Masculino,Varón,No especificado,15-19,Si,victima
11659,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11660,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11660,Masculino,Varón,No especificado,40-44,Si,victima
11661,Masculino,Varón,No especificado,20-24,Si,victima
11661,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11662,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11662,Masculino,Varón,No especificado,30-34,Si,victima
11663,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11663,Masculino,Varón,No especificado,45-49,Si,victima
11664,Masculino,Varón,No especificado,20-24,Si,victima
11664,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11665,Masculino,Varón,No especificado,30-34,Si,victima
11665,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11666,Masculino,Varón,No especificado,20-24,Si,victima
