provincia_id;provincia_nombre;localidad_id;localidad_nombre;anio;mes;fecha_hecho;hora_hecho;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;motivo_origen_registro;motivo_origen_registro_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_tr_edad;victima_18_anios_o_mas;inculpado_sexo;inculpado_identidad_genero;inculpado_identidad_genero_otro
58;Neuquén;100;Plottier;2017;1;2017-01-14;22:38:00;Domicilio particular;No especificado;Domicilio particular;Intervención policial;No especificado;Masculino;Varón;No especificado;45-49;Si;No corresponde;No corresponde;No especificado
58;Neuquén;100;Plottier;2017;1;2017-01-14;22:38:00;Domicilio particular;No especificado;Domicilio particular;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Masculino;Varón;No especificado
58;Neuquén;40;Cutral Có;2017;1;2017-01-07;10:35:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Masculino;Varón;No especificado
58;Neuquén;40;Cutral Có;2017;1;2017-01-07;10:35:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;Masculino;Varón;No especificado;40-44;Si;No corresponde;No corresponde;No especificado
58;Neuquén;70;Neuquén;2017;1;2017-01-07;16:38:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;Masculino;Varón;No especificado;25-29;Si;No corresponde;No corresponde;No especificado
58;Neuquén;70;Neuquén;2017;1;2017-01-07;16:38:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Masculino;Varón;No especificado
58;Neuquén;10;Barrancas;2017;1;2017-01-02;22:00:00;Domicilio particular;No especificado;Domicilio particular;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Masculino;Varón;No especificado
58;Neuquén;10;Barrancas;2017;1;2017-01-02;22:00:00;Domicilio particular;No especificado;Domicilio particular;Intervención policial;No especificado;Masculino;Varón;No especificado;70-74;Si;No corresponde;No corresponde;No especificado
58;Neuquén;70;Neuquén;2017;4;2017-04-03;23:55:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Masculino;Varón;No especificado
58;Neuquén;70;Neuquén;2017;4;2017-04-03;23:55:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;Masculino;Varón;No especificado;15-19;No;No corresponde;No corresponde;No especificado
58;Neuquén;30;Las Ovejas;2017;4;2017-04-12;19:00:00;Domicilio particular;No especificado;Domicilio particular;Denuncia particular;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Femenino;Mujer;No especificado
58;Neuquén;30;Las Ovejas;2017;4;2017-04-12;19:00:00;Domicilio particular;No especificado;Domicilio particular;Denuncia particular;No especificado;Masculino;Varón;No especificado;70-74;Si;No corresponde;No corresponde;No especificado
58;Neuquén;40;Zapala;2017;3;2017-03-17;02:20:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;Masculino;Varón;No especificado;40-44;Si;No corresponde;No corresponde;No especificado
58;Neuquén;40;Zapala;2017;3;2017-03-17;02:20:00;Vía pública;No especificado;Vía pública;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Masculino;Varón;No especificado
58;Neuquén;10;Añelo;2017;3;2017-03-07;21:00:00;Domicilio particular;No especificado;Domicilio particular;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Sin determinar;Sin determinar;No especificado
58;Neuquén;10;Añelo;2017;3;2017-03-07;21:00:00;Domicilio particular;No especificado;Domicilio particular;Intervención policial;No especificado;Masculino;Varón;No especificado;70-74;Si;No corresponde;No corresponde;No especificado
58;Neuquén;130;Vista Alegre Norte;2017;3;2017-03-11;19:10:00;Domicilio particular;No especificado;Domicilio particular;Intervención policial;No especificado;No corresponde;No corresponde;No especificado;No corresponde;Sin determinar;Masculino;Varón;No especificado
