id_hecho,localidad_id,anio,mes,fecha_hecho,hora_hecho,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,motivo_origen_registro,motivo_origen_registro_otro
16536,10.0,2018,1,2018-01-18,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16537,10.0,2018,1,2018-01-18,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16538,10.0,2018,1,2018-01-19,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16539,10.0,2018,1,2018-01-20,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16540,10.0,2018,1,2018-01-20,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16541,30.0,2018,1,2018-01-20,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16542,10.0,2018,1,2018-01-20,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16543,10.0,2018,1,2018-01-21,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16544,10.0,2018,1,2018-01-21,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16545,10.0,2018,1,2018-01-21,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16546,10.0,2018,1,2018-01-21,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16547,40.0,2018,1,2018-01-22,11:11:11,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16548,30.0,2018,1,2018-01-23,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16549,20.0,2018,1,2018-01-23,11:11:11,Cárcel o comisaría,No especificado,Cárcel o comisaría,Denuncia particular,No especificado
16550,10.0,2018,1,2018-01-23,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16551,10.0,2018,1,2018-01-23,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16552,10.0,2018,1,2018-01-23,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16553,10.0,2018,1,2018-01-24,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16554,10.0,2018,1,2018-01-24,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16555,10.0,2018,1,2018-01-25,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16556,10.0,2018,1,2018-01-25,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16557,50.0,2018,1,2018-01-25,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
